Sample	City	Location	Latitude	Longitude	Line	Interchange	Ground	Sampling place	Occupancy	Samplig date	Start	Stop	Filter extraction date	DNA isolation date	Elution volume	Qubit Volume	Conc. (ng/µl)	Total yield	Yield left	DNAngm3
SL310997	Hong Kong	Che Kung Temple	22.374751	114.185998	Ma On Shan Line	Station/busstop	Aboveground	Platform	600	13/07 2017	10:45	11:15	17/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.014	1.4	1.26	0.155555556
SL310998	Hong Kong	Sha Tin Wai	22.376943	114.194785	Ma On Shan Line	Station/busstop	Aboveground	Platform	1500	13/07 2017	11:20	11:50	17/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0132	1.32	1.188	0.146666667
SL310999	Hong Kong	Shek Kip Mei	22.331996	114.168759	Kwun Tong Line	Station/busstop	Underground	Platform	2400	13/07 2017	13:33	14:03	17/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.035	3.5	3.15	0.388888889
SL311000	Hong Kong	Prince Edward	22.325069	114.168319	Kwun Tong Line	Interchange	Underground	Platform	6000	13/07 2017	14:10	14:40	17/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0358	3.58	3.222	0.397777778
SL311001	Hong Kong	Sham Shui Po	22.331291	114.161786	Tsuen Wan Line	Station/busstop	Underground	Platform	2800	13/07 2017	14:52	15:22	17/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0914	9.14	8.226	1.015555556
SL311002	Hong Kong	Cheung Sha Wan	22.335807	114.156443	Tsuen Wan Line	Station/busstop	Underground	Platform	2000	13/07 2017	15:26	15:56	17/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0138	1.38	1.242	0.153333333
SL311003	Hong Kong	Lai King	22.348727	114.126144	Tung Chung Line	Interchange	Underground	Platform	5200	13/07 2017	16:10	16:40	17/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.013	1.3	1.17	0.144444444
SL311004	Hong Kong	Tsing Yi	22.359245	114.107165	Tung Chung Line	Interchange	Underground	Platform	3600	13/07 2017	16:55	17:25	17/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0128	1.28	1.152	0.142222222
SL311005	Hong Kong	Yau Tong	22.298656	114.236905	Tseung Kwan O Line	Station/busstop	Underground	Platform	1600	14/07 2017	9:40	10:10	17/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0332	3.32	2.988	0.368888889
SL311006	Hong Kong	Quarry Bay	22.288431	114.209697	Tseung Kwan O Line	Interchange	Underground	Platform	2000	14/07 2017	10:17	10:47	17/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.011	1.1	0.99	0.122222222
SL311007	Hong Kong	North Point	22.291449	114.200449	Island Line	Interchange	Underground	Platform	1200	14/07 2017	11:02	11:32	17/10-17 - KOB	21/11-17 KOB/IHT	100	10	0			
SL311008	Hong Kong	Fortress Hill	22.288471	114.193647	Island Line	Station/busstop	Underground	Platform	4000	14/07 2017	11:42	12:12	17/10-17 - KOB	21/11-17 KOB/IHT	100	10	0			
SL311009	Hong Kong	Ocean Park	22.249142	114.174605	South Island Line	Station/busstop	Aboveground	Platform	5600	14/07 2017	13:25	13:55	17/10-17 - KOB	21/11-17 KOB	100	10	0.0588	5.88	5.292	0.653333333
SL311010	Hong Kong	Admiralty	22.279733	114.164584	South Island Line	Interchange	Underground	Platform	5600	14/07 2017	14:02	14:32	17/10-17 - KOB	21/11-17 KOB	100	10	0.0536	5.36	4.824	0.595555556
SL311011	Hong Kong	Tsim Sha Tsui	22.29787	114.17217	Tsuen Wan Line	Station/busstop	Underground	Platform	4400	14/07 2017	14:40	15:10	17/10-17 - KOB	21/11-17 KOB	100	10	0.0426	4.26	3.834	0.473333333
SL311012	Hong Kong	East Tsim Sha Tsui	22.295269	114.174305	West Rail Line	Station/busstop	Underground	Platform	5625	14/07 2017	15:21	15:51	17/10-17 - KOB	21/11-17 KOB	100	10	0.0264	2.64	2.376	0.293333333
SL311013	Hong Kong	Hung Hom	22.303619	114.181483	West Rail Line	Interchange	Aboveground	Platform	7200	14/07 2017	16:02	16:32	17/10-17 - KOB	21/11-17 KOB	100	10	0.032	3.2	2.88	0.355555556
SL311014	Hong Kong	Mong Kok East	22.322557	114.172471	East Rail Line	Station/busstop	Aboveground	Platform	3000	14/07 2017	16:45	17:15	17/10-17 - KOB	21/11-17 KOB	100	10	0.02	2	1.8	0.222222222
