Sample	City	Location	Latitude	Longitude	Line	Interchange	Ground	Samplig_date	Temperature_Out	RH
SL335682	Oslo	Nationaltheateret	59.91546	10.73209	Line01	Interchange	Underground	23_06_2017	17	66
SL335690	Oslo	Nydalen	59.9494	10.76592	Line04	Interchange	Underground	23_06_2017	17	66
SL335677	Oslo	Romsås	59.9626	10.89248	Line04	Interchange	Underground	23_06_2017	18	51
SL335681	Oslo	Stortinget	59.91343	10.74329	Line01	Interchange	Underground	23_06_2017	17	66
SL342384	New York	Time Square 42nd St.	40.755983	-73.986229	A/C/E	Interchange	Underground	23_06_2017	27	77
SL335687	Oslo	Tøyen	59.91558	10.7758	Line01	Interchange	Underground	23_06_2017	17	66
SL335749	Denver	Train Cabin - Back wagon	39.8501278	-104.6739062	A line	Car	Aboveground	23_06_2017	15	77
SL335750	Denver	Train Cabin - front wagon	39.8501278	-104.6739062	A line	Car	Aboveground	23_06_2017	15	77
SL342387	New York	Union Square 14th St.	40.734789	-73.99073	L/N/Q	Interchange	Underground	23_06_2017	28	76
SL335739	Denver	Union Station	39.7526509	-105.001685	different regional lines	Station	Underground	23_06_2017	15	77
SL335751	Denver	Union Station	39.7526509	-105.001685	different regional lines	Interchange	Aboveground	23_06_2017	15	77
SL335752	Denver	Union Station	39.7526509	-105.001685	different regional lines	Station	Aboveground	23_06_2017	15	77
SL335753	Denver	Union Station	39.7526509	-105.001685	different regional lines	Station	Underground	23_06_2017	15	77
SL335755	Denver	Union Station	39.7526509	-105.001685	different regional lines	Station	Underground	23_06_2017	15	77
SL335676	Oslo	Vestli	59.97204	10.92944	Line04	Interchange	Underground	23_06_2017	18	51
SL342428	London	Brixton	51.489081	-0.133037	Victoria	Station	Underground	23_07_2017	19	62
SL342426	London	Euston	51.46239	-0.115421	Victoria	Interchange	Underground	23_07_2017	17	88
SL342423	London	Finsbury Park	51.53057	-0.12399	Victoria	Interchange	Underground	23_07_2017	19	62
SL342421	London	Green Park	51.56498	-0.10543	Victoria	Interchange	Underground	23_07_2017	17	88
SL342424	London	Highbury & Islington	51.52774	-0.13303	Victoria	Interchange	Underground	23_07_2017	19	62
SL342425	London	Kings Cross St Pancras	51.5245	-0.1381	Victoria	Interchange	Underground	23_07_2017	19	62
SL342422	London	Oxford Circus	51.54502	-0.10752	Victoria	Interchange	Underground	23_07_2017	17	88
SL342430	London	Pimlico	51.51517	-0.14119	Victoria	Station	Underground	23_07_2017	19	62
SL342429	London	Vauxhall	51.50674	-0.14276	Victoria	Interchange	Underground	23_07_2017	19	62
SL342427	London	Warren Street	51.48603	-0.12369	Victoria	Interchange	Underground	23_07_2017	17	88
SL335694	Oslo	Carl Berners plass	59.92566	10.77959	Line05	Interchange	Underground	26_06_2017	19	52
SL335700	Oslo	Ellingsrudåsen	59.93651	10.91664	Line02	Station	Underground	26_06_2017	19	52
SL335705	Oslo	Forskningsparken	59.9437	10.72088	Line04	Interchange	Aboveground	26_06_2017	19	52
SL335695	Oslo	Grønland	59.91278	10.76009	Line01	Interchange	Underground	26_06_2017	19	52
SL335702	Oslo	Helsfyr	59.91259	10.80139	Line01	Interchange	Underground	26_06_2017	19	52
SL335696	Oslo	Jernbanetorget	59.91226	10.75027	Line01	Interchange	Underground	26_06_2017	19	52
SL335701	Oslo	Lindeberg	59.93276	10.88167	Line02	Station	Underground	26_06_2017	19	52
SL335707	Oslo	Løren	59.9301	10.78959	Line04	Station	Underground	26_06_2017	19	52
SL335704	Oslo	Majorstua	59.93016	10.71473	Line01	Interchange	Aboveground	26_06_2017	19	52
SL335699	Oslo	Montebello	59.93482	10.6664	Line03	Station	Aboveground	26_06_2017	19	52
SL335698	Oslo	Nationaltheateret	59.91546	10.73209	Line01	Interchange	Underground	26_06_2017	19	52
SL335706	Oslo	Nydalen	59.9494	10.76592	Line04	Interchange	Underground	26_06_2017	19	52
SL335693	Oslo	Romsås	59.9626	10.89248	Line04	Interchange	Underground	26_06_2017	19	52
SL335697	Oslo	Stortinget	59.91343	10.74329	Line01	Interchange	Underground	26_06_2017	19	52
SL335703	Oslo	Tøyen	59.91558	10.7758	Line01	Interchange	Underground	26_06_2017	19	52
SL335757	Denver	Union Station	39.7526509	-105.001685	different regional lines	Station	Underground	26_06_2017	26	61
SL335758	Denver	Union Station	39.7526509	-105.001685	different regional lines	Station	Underground	26_06_2017	26	61
SL335759	Denver	Union Station	39.7526509	-105.001685	different regional lines	Interchange	Aboveground	26_06_2017	31	21
SL335760	Denver	Union Station	39.7526509	-105.001685	different regional lines	Interchange	Aboveground	26_06_2017	31	21
SL335761	Denver	Union Station	39.7526509	-105.001685	different regional lines	Station	Aboveground	26_06_2017	31	21
SL335762	Denver	Union Station	39.7526509	-105.001685	different regional lines	Station	Aboveground	26_06_2017	31	21
SL335692	Oslo	Vestli	59.97204	10.92944	Line04	Interchange	Underground	26_06_2017	19	52
SL342440	Stockholm	Fridhemsplan	59.18277	18.04331	Green	Station	Underground	26_09_2017	17	93
SL342441	Stockholm	Fridhemsplan	59.18515	18.04241	Green	Station	Underground	26_09_2017	17	93
SL342443	Stockholm	Medborgarplatsen	59.19513	18.03327	Red	Interchange	Underground	26_09_2017	17	93
SL342439	Stockholm	Skanstull	59.19556	18.0144	Green	Interchange	Underground	26_09_2017	17	93
SL342442	Stockholm	Skanstull	59.19104	18.04194	Green	Interchange	Underground	26_09_2017	17	93
SL342444	Stockholm	Slussen	59.20448	18.04165	Red	Station	Underground	26_09_2017	18	65
SL342445	Stockholm	T-centralen	59.21546	18.03144	Red	Station	Underground	26_09_2017	18	65
SL342446	Stockholm	Tekniska hogskolan	59.23283	18.02298	Red	Station	Underground	26_09_2017	18	65
SL335756	Denver	Blake & 38th	39.7721355	-104.9717774	A line	Interchange	Aboveground	27_06_2017	33	25
SL335765	Denver	Boulder Central	40.016993	-105.276446	different regional lines	Interchange	Aboveground	27_06_2017	32	24
SL335766	Denver	Boulder Central	40.016993	-105.276446	different regional lines	Interchange	Aboveground	27_06_2017	32	24
SL335767	Denver	Boulder Central	40.016993	-105.276446	different regional lines	Interchange	Aboveground	27_06_2017	32	24
SL335710	Oslo	Carl Berners plass	59.92566	10.77959	Line05	Interchange	Underground	27_06_2017	20	31
SL335763	Denver	DIA	39.8501278	-104.6739062	A line	Station	Aboveground	27_06_2017	33	25
SL335764	Denver	DIA	39.8501278	-104.6739062	A line	Station	Aboveground	27_06_2017	33	25
SL335716	Oslo	Ellingsrudåsen	59.93651	10.91664	Line02	Station	Underground	27_06_2017	20	31
SL335721	Oslo	Forskningsparken	59.9437	10.72088	Line04	Interchange	Aboveground	27_06_2017	16	39
SL335711	Oslo	Grønland	59.91278	10.76009	Line01	Interchange	Underground	27_06_2017	16	39
SL335718	Oslo	Helsfyr	59.91259	10.80139	Line01	Interchange	Underground	27_06_2017	20	31
SL335712	Oslo	Jernbanetorget	59.91226	10.75027	Line01	Interchange	Underground	27_06_2017	16	39
