Contig	ARG
2533	Yes
2535	Yes
2538	Yes
2542	Yes
2545	Yes
2546	Yes
2547	Yes
2548	Yes
2550	Yes
2551	Yes
2554	Yes
2555	Yes
2556	Yes
2559	Yes
2560	Yes
2563	Yes
2565	Yes
2566	Yes
2567	Yes
2569	Yes
2570	Yes
2571	Yes
2572	Yes
2573	Yes
2578	Yes
2579	Yes
2581	Yes
2583	Yes
2589	Yes
2591	Yes
2593	Yes
2594	Yes
2595	Yes
2596	Yes
2597	Yes
2601	Yes
2605	Yes
2606	Yes
2609	Yes
2613	Yes
2615	Yes
2616	Yes
2621	Yes
2624	Yes
2628	Yes
2629	Yes
2631	Yes
2633	Yes
2636	Yes
2638	Yes
2640	Yes
2641	Yes
2643	Yes
2644	Yes
2645	Yes
2650	Yes
2651	Yes
2654	Yes
2656	Yes
2658	Yes
2659	Yes
2660	Yes
2661	Yes
2663	Yes
2666	Yes
2669	Yes
2674	Yes
2675	Yes
2676	Yes
2677	Yes
2681	Yes
2682	Yes
2683	Yes
2684	Yes
2685	Yes
2692	Yes
2698	Yes
2700	Yes
2702	Yes
2703	Yes
2704	Yes
2707	Yes
2709	Yes
2710	Yes
2712	Yes
2713	Yes
2715	Yes
2716	Yes
2717	Yes
2719	Yes
2720	Yes
2725	Yes
2729	Yes
2730	Yes
2731	Yes
2734	Yes
2737	Yes
2739	Yes
2740	Yes
2741	Yes
2742	Yes
2745	Yes
2747	Yes
2748	Yes
2751	Yes
2754	Yes
2755	Yes
2756	Yes
2757	Yes
2759	Yes
2760	Yes
2761	Yes
2763	Yes
2764	Yes
2765	Yes
2766	Yes
2767	Yes
2768	Yes
2770	Yes
2774	Yes
2775	Yes
2778	Yes
2780	Yes
2783	Yes
2784	Yes
2788	Yes
2798	Yes
2800	Yes
2801	Yes
2805	Yes
2806	Yes
2813	Yes
2815	Yes
2819	Yes
2820	Yes
2821	Yes
2826	Yes
2827	Yes
2829	Yes
2830	Yes
2831	Yes
2836	Yes
2837	Yes
2838	Yes
2840	Yes
2844	Yes
2845	Yes
2846	Yes
2847	Yes
2848	Yes
2853	Yes
2857	Yes
2858	Yes
2859	Yes
2860	Yes
2863	Yes
2866	Yes
2872	Yes
2873	Yes
2876	Yes
2877	Yes
2879	Yes
2881	Yes
2883	Yes
2884	Yes
2885	Yes
2886	Yes
2887	Yes
2890	Yes
2892	Yes
2894	Yes
2895	Yes
2897	Yes
2904	Yes
2905	Yes
2906	Yes
2910	Yes
2915	Yes
2920	Yes
2922	Yes
2924	Yes
2925	Yes
2927	Yes
2930	Yes
2931	Yes
2933	Yes
2935	Yes
2937	Yes
2941	Yes
2944	Yes
2946	Yes
2948	Yes
2949	Yes
2952	Yes
2953	Yes
2954	Yes
2957	Yes
2961	Yes
2962	Yes
2964	Yes
2965	Yes
2968	Yes
2970	Yes
2973	Yes
2975	Yes
2978	Yes
2985	Yes
2988	Yes
2989	Yes
2991	Yes
2994	Yes
2996	Yes
2999	Yes
3001	Yes
3002	Yes
3004	Yes
3005	Yes
3006	Yes
3010	Yes
3011	Yes
3014	Yes
3015	Yes
3016	Yes
3021	Yes
3023	Yes
3024	Yes
3026	Yes
3027	Yes
3028	Yes
3033	Yes
3035	Yes
3037	Yes
3044	Yes
3046	Yes
3047	Yes
3048	Yes
3051	Yes
3052	Yes
3054	Yes
3055	Yes
3056	Yes
3057	Yes
3064	Yes
3066	Yes
3067	Yes
3068	Yes
3070	Yes
3071	Yes
3073	Yes
3074	Yes
3077	Yes
3079	Yes
3080	Yes
3081	Yes
3083	Yes
3085	Yes
3087	Yes
3088	Yes
3091	Yes
3092	Yes
3093	Yes
3094	Yes
3095	Yes
3096	Yes
3099	Yes
3100	Yes
3101	Yes
3102	Yes
3103	Yes
3106	Yes
3108	Yes
3110	Yes
3111	Yes
3113	Yes
3114	Yes
3116	Yes
3119	Yes
3123	Yes
3124	Yes
3125	Yes
3126	Yes
3127	Yes
3128	Yes
3131	Yes
3132	Yes
3133	Yes
3135	Yes
3138	Yes
3140	Yes
3142	Yes
3145	Yes
3146	Yes
3147	Yes
3148	Yes
3149	Yes
3150	Yes
3154	Yes
3156	Yes
3161	Yes
3162	Yes
3164	Yes
3167	Yes
3168	Yes
3174	Yes
3177	Yes
3180	Yes
3182	Yes
3184	Yes
3185	Yes
3191	Yes
3192	Yes
3195	Yes
3197	Yes
3198	Yes
3199	Yes
3200	Yes
3202	Yes
3204	Yes
3208	Yes
3211	Yes
3214	Yes
3215	Yes
3217	Yes
3222	Yes
3224	Yes
3225	Yes
3229	Yes
3230	Yes
3231	Yes
3232	Yes
3233	Yes
3235	Yes
3239	Yes
3242	Yes
3243	Yes
3244	Yes
3246	Yes
3247	Yes
3248	Yes
3249	Yes
3252	Yes
3253	Yes
3255	Yes
3256	Yes
3257	Yes
3258	Yes
3259	Yes
3260	Yes
3262	Yes
3264	Yes
3265	Yes
3266	Yes
3268	Yes
3269	Yes
3270	Yes
3271	Yes
3273	Yes
3274	Yes
3275	Yes
3279	Yes
3280	Yes
3281	Yes
3282	Yes
3285	Yes
3286	Yes
3287	Yes
3289	Yes
3290	Yes
3291	Yes
3294	Yes
3296	Yes
3297	Yes
3300	Yes
3301	Yes
3302	Yes
3303	Yes
3306	Yes
3308	Yes
3311	Yes
3313	Yes
3316	Yes
3319	Yes
3321	Yes
3323	Yes
3324	Yes
3328	Yes
3330	Yes
3331	Yes
3332	Yes
3333	Yes
3334	Yes
3338	Yes
3339	Yes
3341	Yes
3343	Yes
3345	Yes
3347	Yes
3348	Yes
3349	Yes
3350	Yes
3351	Yes
3352	Yes
3355	Yes
3356	Yes
3359	Yes
3365	Yes
3369	Yes
3370	Yes
3372	Yes
3374	Yes
3377	Yes
3378	Yes
3379	Yes
3382	Yes
3385	Yes
3386	Yes
3388	Yes
3389	Yes
3393	Yes
3396	Yes
3398	Yes
3399	Yes
3400	Yes
3406	Yes
3407	Yes
3408	Yes
3409	Yes
3410	Yes
3415	Yes
3417	Yes
3418	Yes
3419	Yes
3420	Yes
3425	Yes
3428	Yes
3429	Yes
3430	Yes
3433	Yes
3434	Yes
3436	Yes
3440	Yes
3448	Yes
3449	Yes
3452	Yes
3455	Yes
3458	Yes
3459	Yes
3460	Yes
3461	Yes
3463	Yes
3465	Yes
3470	Yes
3473	Yes
3474	Yes
3475	Yes
3477	Yes
3479	Yes
3480	Yes
3484	Yes
3486	Yes
3491	Yes
3492	Yes
3493	Yes
3494	Yes
3497	Yes
3498	Yes
3499	Yes
3502	Yes
3505	Yes
3506	Yes
3512	Yes
3513	Yes
3514	Yes
3515	Yes
3518	Yes
3519	Yes
3520	Yes
3521	Yes
3522	Yes
3528	Yes
3532	Yes
3533	Yes
3535	Yes
3539	Yes
3540	Yes
3541	Yes
3542	Yes
3545	Yes
3547	Yes
3548	Yes
3550	Yes
3552	Yes
3555	Yes
3557	Yes
3558	Yes
3561	Yes
3566	Yes
3569	Yes
3570	Yes
3572	Yes
3573	Yes
3576	Yes
3577	Yes
3578	Yes
3579	Yes
3580	Yes
3584	Yes
3586	Yes
3587	Yes
3588	Yes
3591	Yes
3592	Yes
3595	Yes
3596	Yes
3597	Yes
3598	Yes
3604	Yes
3605	Yes
3607	Yes
3608	Yes
3609	Yes
3611	Yes
3612	Yes
3614	Yes
3615	Yes
3616	Yes
3619	Yes
3620	Yes
3623	Yes
3625	Yes
3626	Yes
3627	Yes
3629	Yes
3630	Yes
3632	Yes
3636	Yes
3637	Yes
3638	Yes
3639	Yes
3640	Yes
3642	Yes
3643	Yes
3644	Yes
3645	Yes
3646	Yes
3647	Yes
3649	Yes
3650	Yes
3651	Yes
3653	Yes
3654	Yes
3661	Yes
3662	Yes
3663	Yes
3665	Yes
3667	Yes
3675	Yes
3676	Yes
3678	Yes
3679	Yes
3680	Yes
3681	Yes
3685	Yes
3686	Yes
3687	Yes
3689	Yes
3691	Yes
3692	Yes
3697	Yes
3700	Yes
3702	Yes
3709	Yes
3713	Yes
3716	Yes
3717	Yes
3719	Yes
3728	Yes
3729	Yes
3736	Yes
3739	Yes
3740	Yes
3741	Yes
3744	Yes
3747	Yes
3749	Yes
3754	Yes
3755	Yes
3758	Yes
3760	Yes
3764	Yes
3767	Yes
3771	Yes
3772	Yes
3776	Yes
3781	Yes
3782	Yes
3783	Yes
3785	Yes
3786	Yes
3789	Yes
3797	Yes
3798	Yes
3800	Yes
3802	Yes
3803	Yes
3804	Yes
3806	Yes
3808	Yes
3809	Yes
3811	Yes
3815	Yes
3816	Yes
3818	Yes
3819	Yes
3820	Yes
3822	Yes
3824	Yes
3826	Yes
3827	Yes
3831	Yes
3833	Yes
3835	Yes
3838	Yes
3839	Yes
3840	Yes
3841	Yes
3842	Yes
3843	Yes
3845	Yes
3846	Yes
3849	Yes
3855	Yes
3860	Yes
3861	Yes
3862	Yes
3864	Yes
3866	Yes
3871	Yes
3875	Yes
3876	Yes
3878	Yes
3880	Yes
3881	Yes
3884	Yes
3886	Yes
3887	Yes
3888	Yes
3889	Yes
3891	Yes
3892	Yes
3895	Yes
3896	Yes
3897	Yes
3898	Yes
3899	Yes
3900	Yes
3902	Yes
3903	Yes
3910	Yes
3911	Yes
3914	Yes
3915	Yes
3916	Yes
3917	Yes
3918	Yes
3922	Yes
3923	Yes
3924	Yes
3925	Yes
3927	Yes
3931	Yes
3936	Yes
3937	Yes
3938	Yes
3940	Yes
3941	Yes
3942	Yes
3943	Yes
3944	Yes
3947	Yes
3949	Yes
3950	Yes
3951	Yes
3953	Yes
3954	Yes
3955	Yes
3956	Yes
3959	Yes
3961	Yes
3966	Yes
3967	Yes
3969	Yes
3970	Yes
3971	Yes
3972	Yes
3973	Yes
3974	Yes
3978	Yes
3982	Yes
3983	Yes
3984	Yes
3986	Yes
3988	Yes
3989	Yes
3990	Yes
3991	Yes
3992	Yes
3993	Yes
3995	Yes
4003	Yes
4006	Yes
4009	Yes
4010	Yes
4011	Yes
4013	Yes
4014	Yes
4015	Yes
4016	Yes
4017	Yes
4020	Yes
4022	Yes
4023	Yes
4024	Yes
4027	Yes
4028	Yes
4031	Yes
4033	Yes
4035	Yes
4039	Yes
4040	Yes
4041	Yes
4043	Yes
4046	Yes
4048	Yes
4049	Yes
4050	Yes
4055	Yes
4056	Yes
4058	Yes
4060	Yes
4062	Yes
4065	Yes
4068	Yes
4071	Yes
4072	Yes
4073	Yes
4077	Yes
4078	Yes
4079	Yes
4080	Yes
4081	Yes
4082	Yes
4083	Yes
4084	Yes
4085	Yes
4087	Yes
4091	Yes
4092	Yes
